lat,lon,name,type
25.64833333,85.06777778,Dighaghat,Level
25.85055556,87.80611111,Dhengraghat,Level
25.61277778,87.78722222,Jhawa,Level
26.10833333,86.52833333,Basua,Level
17.00694444,81.76694444,GodavariRlyBridge(Rajahmundry),Level
26.86056111,94.25160556,Neamatighat,Level
25.99222222,85.05222222,Rewaghat,Level
16.49027778,76.92305556,Huvinhedigi,Level
30.11,78.31,Rishikesh,Level
26.10722222,89.82361111,Golokganj,Level
27.01277778,79.98416667,Kannauj,Level
27.50412222,77.68723333,Mathura (Prayag ghat),Level
26.20333333,81.24666667,Rae bareli,Level
27.93194444,78.8625,Kachhlabridge,Level
21.54777778,86.91805556,Govindpur (NH5 Road Bridge),Level
24.87527778,92.57833333,Badarpurghat,Level
25.1546,82.5296,Mirzapur,Level
26.14111111,83.87472222,Turtipar,Level
26.19027778,91.745,Guwahati(D.C.Court),Level
25.58001667,83.58835,Ghazipur,Level
27.31222222,94.88166667,Chenimari (Khowang),Level
25.62194444,85.17111111,Gandhighat,Level
26.0375,85.88638889,Hayaghat,Level
19.89,74.49,Kopergaon,Level
26.45,91.46,Pagladiya N T Road Crossing,Level
27.19,78.03,AGRA (J.B.),Level
28.53444444,76.87055556,Dhansa,Level
18.98,76.75,Gangakhed W/L Station,Level
15.94,77.42,Mantralayam,Level
19.10805556,82.02277778,Jagdalpur,Level
17.66944444,80.87388889,Bhadrachalam,Level
26.81,92.87972222,NT Road Crossing Jia-Bharali,Level
26.22611111,86.25611111,Jhanjharpur,Level
25.54138889,86.7225,Baltara,Level
27.20658333,94.06555556,Ranganadi NT Road crossing,Level
27.43527778,82.22944444,Balrampur,Level
25.94472222,80.15333333,SAHIJINA,Level
17.5675,81.25,Kunavaram,Level
26.32888889,88.8625,Mekhliganj (R/B),Level
24.90527778,76.68055556,Parwati Pick- up weir,Inflow
25.75,84.38333333,Ballia,Level
26.98173611,94.57904167,Sivasagar,Level
26.35886111,84.74814722,Dumariaghat,Level
27.18916667,82.94,Bansi ,Level
26.15277778,92.65333333,Kampur,Level
25.42,81.84,NAINI,Level
24.64944444,92.60888889,Matijuri,Level
12.2,78.59,Sathanur Dam,Inflow
12.42559444,76.5725,Krishnarajasagar Reservoir,Inflow
27.23084722,83.87586111,Khadda,Level
25.48138889,80.31222222,BANDA,Level
17.13,73.86,Warna Dam,Inflow
30.41770556,77.62275833,Paonta,Level
17.235,79.52,Musi Dam,Inflow
27.49805556,79.69722222,Dabri,Level
10.83,78.81888889,Grand Anicut,Inflow
30.31444444,77.585,Hathnikund Barrage,Inflow
26.7229,85.32715833,Dheng Bridge,Level
22.83861111,87.90361111,Harinkhola,Level
26.50332778,93.95188333,Golaghat,Level
23.51,85.67,PUNASI DAM,Inflow
28.07790833,95.33552778,Passighat,Level
21.76777778,87.16416667,Rajghat,Level
24.65,75.61,Gandhi Sagar Reservoir,Inflow
26.72916667,89.32583333,Hasimara,Level
10.22,76.7,Idamalayar Reservoir,Inflow
17.8525,80.88,Dummagudem,Level
24.33805556,72.33916667,Dantiwada Dam,Inflow
18.82,79.91,Kaleswaram,Level
27.23166667,88.49916667,Singtam,Level
26.84138889,85.58555556,Sonbarsa,Level
18.32,80.46,Eturunagaram,Level
25.32583333,83.04,Varanasi,Level
18.31333333,83.88416667,Srikakulam,Level
27.44880556,94.25008333,Chouldhowaghat,Level
26.39611111,90.25416667,Kokrajhar,Level
26.34608333,85.48632222,Runisaidpur,Level
18.45388889,82.54694444,Jalaput dam (Machkund),Inflow
28.27,81.09,Katerniaghat Barrage,Inflow
34.24611111,74.6325,Safapora,Level
34.06944444,74.83861111,Rammunshibagh (near Srinagar),Level
23.05,78.06,Barna Reservoir,Inflow
28.76138889,78.1425,Garhmukteshwar,Level
25.40305556,81.91138889,Allahabad,Level
23.61805556,87.70305556,Gheropara,Level
26.78194444,90.95722222,Mathanguri,Level
25.57861111,83.97555556,Buxar,Level
29.76218333,77.13166667,Karnal,Level
22.39833333,87.34361111,Mohanpur,Level
25.57138889,84.79777778,Koelwar,Level
26.14472222,85.69222222,Benibad,Level
25.96027778,80.15388889,HAMIRPUR,Level
26.3475,85.80138889,Kamtaul,Level
26.28666667,89.45972222,Ghugumari,Level
26.30861111,89.68194444,Tufanganj,Level
26.49388889,90.91611111,Beki Road bridge,Level
27.76361111,95.56611111,Dholabazar,Level
20.47,85.77,Naraj,Level
26.72972222,83.34972222,Birdghat ,Level
26.12916667,79.75944444,KALPI,Level
26.56277778,88.76166667,DOMOHANI,Level
27.66,95.83,Namsai,Level
23.88416667,87.91555556,Narayanpur,Level
24.83944444,84.13222222,Indrapuri,Level
15.82140833,75.09671389,Malaprabha Dam,Inflow
21.07,75.95,HATHNUR,Inflow
24.75,84.16,Indrapuri Barrage,Inflow
20.87194444,79.60388889,Gosikhurd Dam,Inflow
18.58611111,80.39333333,PVNRao Kantanapally Project,Inflow
26.41527778,85.06611111,Ahirwalia,Level
24.69944444,74.71566111,Gambhiri Dam,Inflow
11.8,78.81,Gomukhi Dam,Inflow
11.47,77.1,Bhavani Sagar Dam ,Inflow
24.42,84.26,Batane,Inflow
11.4,79.09,Wellington Reservoir,Inflow
15.88,77.83,Sunkesula Barrage,Inflow
16.2,76.36,Narayanapura Reservoir,Inflow
10.05333333,77.58916667,Vaigai Reservoir,Inflow
12.82196111,76.05423333,Hemavathy Reservoir,Inflow
18.84416667,79.37277778,Sripada Yellampalli Project,Inflow
18.12,74.09,Veer Dam,Inflow
16.14318611,74.64265,Hidkal Reservoir,Inflow
25.37111111,85.99388889,Hathidah,Level
18.07,75.12,Ujjani Reservoir,Inflow
18.78,83.49,Thottapalli R/s (APSDPSData),Inflow
22.64,86.39,Galudih Barrage,Inflow
10.59305556,77.97194444,KODAGANAR DAM,Inflow
20.00194444,73.80333333,Nasik,Level
26.56972222,88.9375,Jaldhaka NH-31,Level
17.4,73.75,Koyna,Inflow
18.84833333,83.87305556,Kashinagar,Level
26.36638889,91.65333333,Puthimari NH Rd Xing,Level
33.83333333,75.06694444,Sangam,Level
24.19166667,81.2875,Bansagar Dam,Inflow
23.82194444,87.19944444,Hinglow Dam,Inflow
19.48722222,75.37111111,Jaikwadi Dam,Inflow
12.4938,75.90541389,Harangi Reservoir,Inflow
16.08,78.9,Srisailam Reservoir,Inflow
15.26,76.34,Tungabhadra Dam,Inflow
16.33,77.7,P.D. Jurala,Inflow
13.70135278,75.63661111,Bhadra Reservoir,Inflow
21.28,85.03,Rengali Reservoir,Inflow
16.33,75.88,Almatti Reservoir,Inflow
24.05,83.81,Annaraj Dam,Inflow
11.8,77.8,Mettur Reservoir,Inflow
13.01,80.08,Chembarampakkam,Inflow
13.18,79.86,Poondi Satyamoorthy Reservoir,Inflow
23.97833333,74.0325,Som Kamla Amba Dam,Inflow
17.88,77.31,Karanja Dam,Inflow
19.15,76.18,Manjlegaon,Inflow
15.03,75.83,Singatalur Barrage,Inflow
9.84,76.97,Idukki (Eb)/Idukki Arch Reservoir,Inflow
22.97,86.05,Chandil Dam,Inflow
11.97339167,76.35275,Kabini Reservoir,Inflow
21.28,86.3,Salandi Reservoir,Inflow
23.45,85.55,Getalsud Reservoir,Inflow
24.92,75.58,Ranapratap Sagar Reservoir,Inflow
26.52,86.92,KOSI BARRAGE,Inflow
23.05416667,73.71666667,Panam Dam,Inflow
16.75,80.05,DR KLRS Pulichintala Dam,Inflow
23.30527778,73.82472222,Kadana Dam,Inflow
13.84333333,75.52638889,Upper Tunga Prject,Inflow
18.48,83.8,Narayanpuram Anicut,Inflow
28.99555556,80.10555556,Banbasa Barrage,Inflow
24.76,78.23,RAJGHAT DAM,Inflow
25.1,78.36,Matatila Reservoir,Inflow
23.62861111,74.54722222,Mahi Bajaj Sagar Dam,Inflow
